gene,X.x,celltype.x,p_val.x,Sgp_avg_log2FC,Sgp130 pct,WT pct,p_val_adj.x,X.y,p_val.y,Human_avg_log2FC.y,Liver met pct,normal liver pct,p_val_adj.y,label
ABCC1,Abcc1,Macrophage,1.30E-17,-0.435625369,0.294,0.43,3.01E-13,ABCC1,3.85E-12,0.540099478,0.162,0.083,9.49E-08,good
ABHD5,Abhd5,Macrophage,7.33E-10,-0.455207243,0.117,0.186,1.70E-05,ABHD5,3.05E-67,1.187725413,0.457,0.177,7.53E-63,good
ACBD3,Acbd3,Macrophage,2.36E-11,-0.275260222,0.324,0.425,5.47E-07,ACBD3,1.12E-27,0.961262327,0.218,0.084,2.76E-23,good
ACTB,Actb,Macrophage,6.17E-17,0.158306673,0.999,1,1.43E-12,ACTB,1.25E-58,-0.153938694,0.998,0.998,3.07E-54,good
ADM,Adm,Macrophage,1.53E-07,-0.717549356,0.029,0.064,0.003536197,ADM,2.26E-41,0.941322469,0.383,0.171,5.58E-37,good
ADORA2B,Adora2b,Macrophage,1.13E-06,-0.132792114,0.239,0.314,0.026060169,ADORA2B,1.76E-23,1.279739393,0.148,0.048,4.35E-19,good
ADSSL1,Adssl1,Macrophage,1.85E-28,-0.492011484,0.337,0.521,4.28E-24,ADSSL1,9.48E-13,1.261900379,0.086,0.031,2.34E-08,good
AFG3L2,Afg3l2,Macrophage,1.31E-18,-0.673703542,0.193,0.306,3.04E-14,AFG3L2,2.08E-11,0.305979794,0.33,0.208,5.13E-07,good
AGPAT4,Agpat4,Macrophage,1.05E-09,-0.203671485,0.291,0.387,2.43E-05,AGPAT4,3.75E-36,1.21807758,0.213,0.065,9.25E-32,good
AHNAK,Ahnak,Macrophage,5.36E-45,-0.556729501,0.587,0.833,1.24E-40,AHNAK,1.37E-11,-0.213002511,0.74,0.722,3.37E-07,bad
AIF1,Aif1,Macrophage,1.14E-39,0.790258939,0.658,0.523,2.64E-35,AIF1,1.27E-55,-0.18584806,0.965,0.966,3.14E-51,good
AKAP9,Akap9,Macrophage,2.23E-07,-0.190316293,0.236,0.31,0.005158226,AKAP9,1.51E-07,-0.409298056,0.456,0.456,0.003721136,bad
ALCAM,Alcam,Macrophage,3.01E-07,-0.166049233,0.634,0.757,0.006958708,ALCAM,2.94E-13,0.35140923,0.51,0.346,7.25E-09,good
ALOX5AP,Alox5ap,Macrophage,7.13E-18,-0.220154443,0.811,0.942,1.65E-13,ALOX5AP,4.78E-90,0.892715,0.751,0.434,1.18E-85,good
ANKRD12,Ankrd12,Macrophage,6.96E-13,-0.327615566,0.288,0.397,1.61E-08,ANKRD12,2.26E-12,-0.327260218,0.566,0.58,5.58E-08,bad
ANXA4,Anxa4,Macrophage,6.92E-10,-0.234002883,0.272,0.362,1.60E-05,ANXA4,5.06E-32,0.654111077,0.458,0.242,1.25E-27,good
AP2B1,Ap2b1,Macrophage,4.79E-09,-0.107795134,0.409,0.518,0.000110943,AP2B1,4.54E-15,0.457178507,0.293,0.167,1.12E-10,good
AP3S1,Ap3s1,Macrophage,3.91E-34,-0.55226519,0.503,0.705,9.04E-30,AP3S1,9.91E-20,0.449017257,0.539,0.347,2.44E-15,good
APBB1IP,Apbb1ip,Macrophage,2.47E-07,-0.103205683,0.522,0.636,0.005708408,APBB1IP,1.80E-14,-0.256120102,0.668,0.656,4.45E-10,bad
APOE,Apoe,Macrophage,1.23E-152,1.603207219,0.9,0.672,2.86E-148,APOE,3.21E-136,1.782381528,0.567,0.178,7.93E-132,bad
APP,App,Macrophage,9.03E-13,-0.259320217,0.817,0.917,2.09E-08,APP,1.09E-43,0.742105273,0.551,0.284,2.70E-39,good
ARF6,Arf6,Macrophage,1.18E-07,-0.19196547,0.27,0.35,0.002743152,ARF6,1.07E-07,0.19576683,0.609,0.441,0.002643258,good
ARHGAP15,Arhgap15,Macrophage,1.31E-39,1.02889511,0.562,0.42,3.02E-35,ARHGAP15,3.08E-68,-1.470995436,0.232,0.434,7.59E-64,good
ARID3A,Arid3a,Macrophage,3.71E-07,-0.512234321,0.133,0.188,0.008589327,ARID3A,6.39E-17,0.757620838,0.154,0.066,1.58E-12,good
ARL15,Arl15,Macrophage,8.75E-08,0.804457268,0.304,0.244,0.002026053,ARL15,2.02E-07,0.279196067,0.104,0.056,0.004990747,bad
ARL8B,Arl8b,Macrophage,8.65E-10,-0.177961672,0.362,0.474,2.00E-05,ARL8B,4.85E-24,0.401338174,0.724,0.501,1.20E-19,good
ARRDC4,Arrdc4,Macrophage,5.25E-09,-0.340026282,0.229,0.311,0.000121591,ARRDC4,1.40E-46,1.777880977,0.209,0.048,3.44E-42,good
ASAH1,Asah1,Macrophage,3.75E-11,0.772019348,0.495,0.45,8.67E-07,ASAH1,5.38E-17,0.265194819,0.895,0.746,1.33E-12,bad
ATP11B,Atp11b,Macrophage,1.09E-10,-0.186961364,0.48,0.602,2.53E-06,ATP11B,2.40E-16,0.602485582,0.214,0.108,5.91E-12,good
ATP1B3,Atp1b3,Macrophage,5.27E-09,-0.185892836,0.592,0.726,0.000122124,ATP1B3,2.30E-63,0.611755189,0.832,0.542,5.67E-59,good
ATP2B4,Atp2b4,Macrophage,2.10E-08,-0.255786766,0.293,0.388,0.000486558,ATP2B4,2.55E-13,0.529600125,0.167,0.083,6.28E-09,good
ATP6V1C1,Atp6v1c1,Macrophage,6.05E-13,-0.279178384,0.306,0.415,1.40E-08,ATP6V1C1,3.05E-26,0.59899847,0.464,0.26,7.51E-22,good
ATP8B4,Atp8b4,Macrophage,9.50E-24,-0.466570152,0.353,0.522,2.20E-19,ATP8B4,6.44E-15,-1.18355215,0.135,0.21,1.59E-10,bad
AXL,Axl,Macrophage,1.51E-18,1.054369088,0.263,0.157,3.50E-14,AXL,9.76E-11,-0.729758867,0.237,0.294,2.41E-06,good
B3GNT2,B3gnt2,Macrophage,1.32E-07,-0.226602307,0.193,0.262,0.003049587,B3GNT2,1.57E-41,1.115435604,0.316,0.124,3.87E-37,good
BCL2L1,Bcl2l1,Macrophage,2.54E-14,-0.387881329,0.266,0.384,5.89E-10,BCL2L1,4.74E-12,0.436194583,0.265,0.157,1.17E-07,good
BLNK,Blnk,Macrophage,1.27E-21,1.465300465,0.237,0.13,2.93E-17,BLNK,2.64E-50,-2.040290383,0.117,0.274,6.52E-46,good
BNIP3L,Bnip3l,Macrophage,5.37E-27,-0.566252671,0.446,0.622,1.24E-22,BNIP3L,4.12E-25,0.399418215,0.837,0.644,1.02E-20,good
BST1,Bst1,Macrophage,2.24E-22,-0.537184875,0.269,0.422,5.18E-18,BST1,4.76E-71,1.653046037,0.329,0.082,1.17E-66,good
BTF3,Btf3,Macrophage,7.66E-11,-0.138270358,0.85,0.946,1.77E-06,BTF3,8.48E-103,-0.285208236,0.965,0.977,2.09E-98,bad
BTG3,Btg3,Macrophage,1.93E-10,-0.346657335,0.25,0.339,4.47E-06,BTG3,1.01E-43,1.012086521,0.359,0.152,2.49E-39,good
BZW1,Bzw1,Macrophage,8.16E-15,-0.221166878,0.419,0.562,1.89E-10,BZW1,7.52E-31,0.474614079,0.754,0.526,1.85E-26,good
CAMK1D,Camk1d,Macrophage,2.36E-16,0.522317615,0.675,0.642,5.45E-12,CAMK1D,7.46E-27,-0.855387375,0.316,0.42,1.84E-22,good
CAPNS1,Capns1,Macrophage,1.71E-13,-0.184061433,0.547,0.706,3.96E-09,CAPNS1,1.65E-12,0.278996689,0.51,0.339,4.06E-08,good
CARHSP1,Carhsp1,Macrophage,6.28E-18,-0.462045053,0.217,0.335,1.46E-13,CARHSP1,1.11E-08,0.190185052,0.22,0.136,0.000272946,good
CD14,Cd14,Macrophage,1.06E-62,0.724711875,0.905,0.856,2.45E-58,CD14,1.84E-53,0.641618043,0.784,0.485,4.54E-49,bad
CD300LF,Cd300lf,Macrophage,2.21E-15,-0.359102477,0.409,0.538,5.11E-11,CD300LF,6.86E-14,0.432788829,0.326,0.196,1.69E-09,good
CD302,Cd302,Macrophage,1.68E-13,1.245861018,0.219,0.135,3.90E-09,CD302,1.46E-108,-0.819343737,0.579,0.769,3.60E-104,good
CD44,Cd44,Macrophage,6.58E-19,-0.346515317,0.829,0.94,1.52E-14,CD44,7.75E-62,0.498120181,0.928,0.702,1.91E-57,good
CD63,Cd63,Macrophage,2.87E-37,1.087885976,0.456,0.289,6.64E-33,CD63,7.49E-44,0.362978715,0.944,0.79,1.85E-39,bad
CD83,Cd83,Macrophage,9.66E-68,1.154837765,0.635,0.415,2.24E-63,CD83,6.10E-29,-0.266824643,0.793,0.773,1.51E-24,good
CD93,Cd93,Macrophage,2.53E-19,-0.358900388,0.496,0.673,5.87E-15,CD93,1.59E-09,0.343884864,0.4,0.29,3.92E-05,good
CEBPA,Cebpa,Macrophage,3.36E-14,1.366713799,0.165,0.087,7.78E-10,CEBPA,1.97E-09,0.397750093,0.151,0.084,4.85E-05,bad
CFL1,Cfl1,Macrophage,4.00E-11,0.246998564,0.909,0.947,9.27E-07,CFL1,1.74E-34,-0.109708658,0.986,0.98,4.30E-30,good
CHST11,Chst11,Macrophage,7.53E-18,-0.290225203,0.262,0.41,1.74E-13,CHST11,6.54E-18,0.398304866,0.505,0.32,1.61E-13,good
CISH,Cish,Macrophage,3.37E-08,-0.365634938,0.181,0.249,0.000779748,CISH,7.53E-12,0.665719594,0.115,0.051,1.86E-07,good
CKAP4,Ckap4,Macrophage,1.09E-08,-0.411632896,0.153,0.221,0.000252032,CKAP4,3.70E-73,2.68458059,0.243,0.034,9.12E-69,good
CLEC12A,Clec12a,Macrophage,5.32E-09,0.812000077,0.287,0.221,0.000123123,CLEC12A,1.83E-19,-0.624330002,0.372,0.451,4.52E-15,good
CLEC7A,Clec7a,Macrophage,2.82E-12,-0.509993842,0.503,0.623,6.54E-08,CLEC7A,3.60E-30,-0.312911337,0.727,0.733,8.87E-26,bad
CLIC4,Clic4,Macrophage,3.81E-08,0.541471526,0.59,0.597,0.000883167,CLIC4,5.26E-32,0.720448362,0.396,0.196,1.30E-27,bad
CMAS,Cmas,Macrophage,4.35E-12,-0.464121081,0.183,0.271,1.01E-07,CMAS,1.93E-15,0.469906835,0.217,0.109,4.77E-11,good
